i,j,rel_a,rel_b,scene,yaw_diff_deg,pitch_diff_deg,rot_deg,forward_angle_deg,baseline_m
19957,20142,5f0041e53d59d67c3ca25db97b269db183a532c4566a6bc46ca0e69cfa4234ad/nerfstudio/images_4/frame_00136.png,5f0041e53d59d67c3ca25db97b269db183a532c4566a6bc46ca0e69cfa4234ad/nerfstudio/images_4/frame_00321.png,5f0041e53d59,75.1472,3.3643,75.8118,75.1988,10.6216
38816,39003,d3812aad538261e7f73c75762ff55f23b468bcc76f376d52ac86ca6cf3c44b4b/nerfstudio/images_4/frame_00129.png,d3812aad538261e7f73c75762ff55f23b468bcc76f376d52ac86ca6cf3c44b4b/nerfstudio/images_4/frame_00316.png,d3812aad5382,79.6834,21.7021,81.3771,80.1934,3.9364
39840,40083,d8de66037bd03dd0d39d54f9978bac3318d912e30e22c21e1ada82a98ed48c53/nerfstudio/images_4/frame_00111.png,d8de66037bd03dd0d39d54f9978bac3318d912e30e22c21e1ada82a98ed48c53/nerfstudio/images_4/frame_00354.png,d8de66037bd0,72.5668,11.6105,73.3036,73.271,6.1109
11799,11969,387eeb925ba47af5db9ce6102aaf6b07e6d3573b7e7568dda4cef22d5ab1342f/nerfstudio/images_4/frame_00107.png,387eeb925ba47af5db9ce6102aaf6b07e6d3573b7e7568dda4cef22d5ab1342f/nerfstudio/images_4/frame_00277.png,387eeb925ba4,60.0271,28.9529,67.7805,65.9024,8.908
15602,15625,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00289.png,493816813d2d6d248eb3c2b0b77b63e54235266e9a06e270fd0d282f13960493/nerfstudio/images_4/frame_00312.png,493816813d2d,66.9011,6.1936,67.1848,66.6865,4.1044
20915,21037,66fd66cbed40a2d11ecd17ae6d6d60cd60d476616864ecdd351fe69e644f30a1/nerfstudio/images_4/frame_00031.png,66fd66cbed40a2d11ecd17ae6d6d60cd60d476616864ecdd351fe69e644f30a1/nerfstudio/images_4/frame_00153.png,66fd66cbed40,60.3609,3.5303,60.3602,60.3393,3.9753
16025,16163,4ff8650b5c1140e98d957fbd1abbe2cfbbb416b37cb9f06f7f376956703801bb/nerfstudio/images_4/frame_00025.png,4ff8650b5c1140e98d957fbd1abbe2cfbbb416b37cb9f06f7f376956703801bb/nerfstudio/images_4/frame_00163.png,4ff8650b5c11,85.2711,1.5086,87.1338,77.8218,5.0761
19584,19703,5c8dafad7d782c76ffad8c14e9e1244ce2b83aa12324c54a3cc10176964acf04/nerfstudio/images_4/frame_00124.png,5c8dafad7d782c76ffad8c14e9e1244ce2b83aa12324c54a3cc10176964acf04/nerfstudio/images_4/frame_00243.png,5c8dafad7d78,60.4375,3.6206,60.4017,60.3949,5.293
31320,31358,a62c330f5403e2e41a82a74c4e865b705c5706843b992fae2fe2e538b122d984/nerfstudio/images_4/frame_00309.png,a62c330f5403e2e41a82a74c4e865b705c5706843b992fae2fe2e538b122d984/nerfstudio/images_4/frame_00347.png,a62c330f5403,62.4478,29.245,68.3798,68.3231,2.3413
35357,35651,ba55c875d20c34ee85ffc72264c4d77710852e5fb7d9ce4b9c26a8442850e98f/nerfstudio/images_4/frame_00048.png,ba55c875d20c34ee85ffc72264c4d77710852e5fb7d9ce4b9c26a8442850e98f/nerfstudio/images_4/frame_00342.png,ba55c875d20c,51.2755,3.5578,51.8431,51.1763,3.832
40940,41092,d9f4c746e6fa456323601b8ca05357c5585d34663c765107d901b4fd929d784b/nerfstudio/images_4/frame_00044.png,d9f4c746e6fa456323601b8ca05357c5585d34663c765107d901b4fd929d784b/nerfstudio/images_4/frame_00196.png,d9f4c746e6fa,66.7583,3.8244,67.1683,66.8551,8.4931
18817,18842,5a69d1027b477be4d2933b765723d57b272e0ace96be7885306464d54aa2c038/nerfstudio/images_4/frame_00003.png,5a69d1027b477be4d2933b765723d57b272e0ace96be7885306464d54aa2c038/nerfstudio/images_4/frame_00028.png,5a69d1027b47,80.4423,3.717,80.4628,80.4069,5.678
9140,9281,2beaca318994c25409dcbb6d0bdd96c3620f2f18aec44ea3f20edd302f18ca78/nerfstudio/images_4/frame_00183.png,2beaca318994c25409dcbb6d0bdd96c3620f2f18aec44ea3f20edd302f18ca78/nerfstudio/images_4/frame_00324.png,2beaca318994,53.1835,7.8198,53.7826,53.7061,6.8194
36258,36283,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00212.png,c37109a55effe0000f8e40652ca935376e75bcb2a0b56de8eabd20a26e2a0f68/nerfstudio/images_4/frame_00237.png,c37109a55eff,68.4001,3.5589,68.4301,68.4155,2.8256
9526,9575,2cbfe28643b6636f9c70813cae7625aa858a352109493ac70fb429ce94dd55b3/nerfstudio/images_4/frame_00206.png,2cbfe28643b6636f9c70813cae7625aa858a352109493ac70fb429ce94dd55b3/nerfstudio/images_4/frame_00255.png,2cbfe28643b6,57.91,0.3609,58.3597,57.3047,4.7724
29917,29989,9e9a89ae6fed06d6e2f4749b4b0059f35ca97f848cedc4a14345999e746f7884/nerfstudio/images_4/frame_00319.png,9e9a89ae6fed06d6e2f4749b4b0059f35ca97f848cedc4a14345999e746f7884/nerfstudio/images_4/frame_00391.png,9e9a89ae6fed,52.3147,5.9155,52.3327,51.5846,5.1273
9983,10034,32c2b92fac40c698fa92de008a9aad0857168d255363a850a89de88b5b3ec42e/nerfstudio/images_4/frame_00014.png,32c2b92fac40c698fa92de008a9aad0857168d255363a850a89de88b5b3ec42e/nerfstudio/images_4/frame_00065.png,32c2b92fac40,59.4658,4.1471,61.2636,59.5175,6.1295
16548,16573,50c46cf8b8b22c8d2ffdef8964b05ddbceaef312c9a9ff331d1ecebfd223f72a/nerfstudio/images_4/frame_00206.png,50c46cf8b8b22c8d2ffdef8964b05ddbceaef312c9a9ff331d1ecebfd223f72a/nerfstudio/images_4/frame_00231.png,50c46cf8b8b2,53.4223,5.2214,52.8869,52.303,3.2916
23880,23998,7a9f97660be8f2421b37dd413c898360532f17c6447c11515e8aded2d80eb99d/nerfstudio/images_4/frame_00048.png,7a9f97660be8f2421b37dd413c898360532f17c6447c11515e8aded2d80eb99d/nerfstudio/images_4/frame_00166.png,7a9f97660be8,56.6803,14.4669,58.4929,58.1559,3.075
6393,6480,1da888bdedfc9629c0fa9f82cf3f5d96f8103baee0ff64d9311aea1224a9f2ae/nerfstudio/images_4/frame_00153.png,1da888bdedfc9629c0fa9f82cf3f5d96f8103baee0ff64d9311aea1224a9f2ae/nerfstudio/images_4/frame_00240.png,1da888bdedfc,62.9788,12.5331,64.2933,64.0812,5.4323
45737,45898,ec305787b70029b782c71c1bf296c3885c7c22619e5661bd40085533ddfee5e4/nerfstudio/images_4/frame_00151.png,ec305787b70029b782c71c1bf296c3885c7c22619e5661bd40085533ddfee5e4/nerfstudio/images_4/frame_00312.png,ec305787b700,79.8636,16.55,81.2064,81.1961,1.5335
2624,2661,0a1b7c20a92c43c6b8954b1ac909fb2f0fa8b2997b80604bc8bbec80a1cb2da3/nerfstudio/images_4/frame_00230.png,0a1b7c20a92c43c6b8954b1ac909fb2f0fa8b2997b80604bc8bbec80a1cb2da3/nerfstudio/images_4/frame_00267.png,0a1b7c20a92c,61.0745,4.781,64.7071,60.0235,4.2221
39486,39706,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00081.png,d4fbeba0168af8fddb2fc695881787aedcd62f477c7dcec9ebca7b8594bbd95b/nerfstudio/images_4/frame_00301.png,d4fbeba0168a,87.2756,16.0287,88.746,88.3191,7.8099
28312,28416,946f49be73928469000baa5ca04d2573137c5ee6a66362bcf8d130354dca8924/nerfstudio/images_4/frame_00190.png,946f49be73928469000baa5ca04d2573137c5ee6a66362bcf8d130354dca8924/nerfstudio/images_4/frame_00294.png,946f49be7392,56.8664,0.0333,58.9085,56.1653,5.8979
35170,35293,b92b499c9bf92327d5f3a44c9db49bde3400dcb1cfec48d6488831e2b304d0bb/nerfstudio/images_4/frame_00188.png,b92b499c9bf92327d5f3a44c9db49bde3400dcb1cfec48d6488831e2b304d0bb/nerfstudio/images_4/frame_00311.png,b92b499c9bf9,74.3367,2.5357,74.9841,74.0732,7.004
29004,29166,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/nerfstudio/images_4/frame_00187.png,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/nerfstudio/images_4/frame_00349.png,9c8c0e0fadd9,54.7972,30.3691,62.5085,60.5211,3.667
3075,3091,0bfdd020cf475b9c68e4b469d1d1a2d0cad303eefe8b78fb2307855afdaac8be/nerfstudio/images_4/frame_00037.png,0bfdd020cf475b9c68e4b469d1d1a2d0cad303eefe8b78fb2307855afdaac8be/nerfstudio/images_4/frame_00053.png,0bfdd020cf47,61.4655,2.5137,61.523,61.4553,3.1557
19300,19416,5c3af581028068a3c402c7cbe16ecf9471ddf2897c34ab634b7b1b6cf81aba00/nerfstudio/images_4/frame_00142.png,5c3af581028068a3c402c7cbe16ecf9471ddf2897c34ab634b7b1b6cf81aba00/nerfstudio/images_4/frame_00258.png,5c3af5810280,55.3614,0.4575,55.3372,55.3279,8.0367
23125,23194,75fbbe467353cfdeb93bc1872144855576797be83a0c71c51155ee6b355d6d5e/nerfstudio/images_4/frame_00020.png,75fbbe467353cfdeb93bc1872144855576797be83a0c71c51155ee6b355d6d5e/nerfstudio/images_4/frame_00089.png,75fbbe467353,68.4679,0.9518,69.8637,67.3937,6.9838
9670,9696,2f3e1c0f688c84cec67f9a1ea219c54c14ffabf31a046e620dacc690cac2f1bd/nerfstudio/images_4/frame_00046.png,2f3e1c0f688c84cec67f9a1ea219c54c14ffabf31a046e620dacc690cac2f1bd/nerfstudio/images_4/frame_00072.png,2f3e1c0f688c,64.3747,4.5338,65.0234,64.4085,5.0585
22461,22562,70eac6ff18a1daae4eeccc5eb18723eaf7e029a77e79c79d9573f7bac59ba92b/nerfstudio/images_4/frame_00015.png,70eac6ff18a1daae4eeccc5eb18723eaf7e029a77e79c79d9573f7bac59ba92b/nerfstudio/images_4/frame_00116.png,70eac6ff18a1,50.28,2.4425,52.6563,49.6957,7.7786
47989,48103,fb2c0499c225d6124938cadcf0dc48cbb490551b8a69c98386491c1366163632/nerfstudio/images_4/frame_00102.png,fb2c0499c225d6124938cadcf0dc48cbb490551b8a69c98386491c1366163632/nerfstudio/images_4/frame_00216.png,fb2c0499c225,60.7937,3.8198,60.8983,60.8976,6.3142
19555,19720,5c8dafad7d782c76ffad8c14e9e1244ce2b83aa12324c54a3cc10176964acf04/nerfstudio/images_4/frame_00095.png,5c8dafad7d782c76ffad8c14e9e1244ce2b83aa12324c54a3cc10176964acf04/nerfstudio/images_4/frame_00260.png,5c8dafad7d78,56.8739,6.9053,57.2551,57.2303,5.1783
48047,48171,fb2c0499c225d6124938cadcf0dc48cbb490551b8a69c98386491c1366163632/nerfstudio/images_4/frame_00160.png,fb2c0499c225d6124938cadcf0dc48cbb490551b8a69c98386491c1366163632/nerfstudio/images_4/frame_00284.png,fb2c0499c225,85.7663,0.2299,85.6548,85.5766,7.3364
26014,26169,8cb2e97d26a639f05a571476240a8fa86988e6853f0f13cc05830d1578002aad/nerfstudio/images_4/frame_00085.png,8cb2e97d26a639f05a571476240a8fa86988e6853f0f13cc05830d1578002aad/nerfstudio/images_4/frame_00240.png,8cb2e97d26a6,54.1836,34.1042,66.2446,63.3281,7.2393
17475,17667,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00042.png,56452d9cd9e2e034764132a57058517ab085e1352f9664d2d1e10e98741334fc/nerfstudio/images_4/frame_00234.png,56452d9cd9e2,69.2801,16.1603,75.8468,69.8814,6.7102
10567,10623,341b4ff3dfd3d377d7167bd81f443bedafbff003bf04881b99760fc0aeb69510/nerfstudio/images_4/frame_00276.png,341b4ff3dfd3d377d7167bd81f443bedafbff003bf04881b99760fc0aeb69510/nerfstudio/images_4/frame_00332.png,341b4ff3dfd3,61.1215,6.1466,66.0483,58.0484,2.6752
21861,22114,6d81c5ab0d480fd43d78b75ff372a8113ad38e2c03f1d69627c009883054d4c2/nerfstudio/images_4/frame_00173.png,6d81c5ab0d480fd43d78b75ff372a8113ad38e2c03f1d69627c009883054d4c2/nerfstudio/images_4/frame_00426.png,6d81c5ab0d48,79.0191,9.2002,80.4688,79.4505,6.6969
